path,global_category,label_id
../custom_dataset/train/Labeled/Boot/ad595795fd0be66a.jpg,boot,5
../custom_dataset/train/Labeled/Boot/b093b57118477d8c.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/5201d6cf9e564390.jpg,handbag,2
../custom_dataset/train/Labeled/Handbag/bae0914900858104.jpg,handbag,2
../custom_dataset/train/Labeled/High heels/882b2881807559ce.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/384a12e634a46b76.jpg,handbag,2
../custom_dataset/train/Labeled/Handbag/337a6bdcd3a7dcdf.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/2fb6778de06c653c.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/4f5351117ccad6cb.jpg,handbag,2
../custom_dataset/train/Labeled/High heels/015a9d0594ab89e6.jpg,high_heel,1
../custom_dataset/train/Labeled/Boot/6f5073c01cf16b47.jpg,boot,5
../custom_dataset/train/Labeled/Boot/014ba850c5079ef8.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/b6d4a33f5861f1bf.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/2bf76824f103245b.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/7722af878ad4d6d4.jpg,handbag,2
../custom_dataset/train/Labeled/High heels/50433626debd0bb9.jpg,high_heel,1
../custom_dataset/train/Labeled/High heels/ee8c1da598693b72.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/69f40ca44bda2d4d.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/04cfdace9235b2fe.jpg,boot,5
../custom_dataset/train/Labeled/High heels/9dae4ea3167853f7.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/c466c16bc7ce29aa.jpg,handbag,2
../custom_dataset/train/Labeled/Handbag/422f1505c1408bff.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/4caac48c67533c7e.jpg,boot,5
../custom_dataset/train/Labeled/High heels/83a13c33da5360d6.jpg,high_heel,1
../custom_dataset/train/Labeled/High heels/002a79cadd1ddfbe.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/58b1e9ab877c5113.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/47a98694066e0310.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/1685d82b9d633486.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/6cc03d3cd1f9db5e.jpg,boot,5
../custom_dataset/train/Labeled/High heels/796b9a9c245ebd1e.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/25288dd1c191308b.jpg,handbag,2
../custom_dataset/train/Labeled/High heels/731d3e66e96f9448.jpg,high_heel,1
../custom_dataset/train/Labeled/Boot/d9bbe28796dd3df9.jpg,boot,5
../custom_dataset/train/Labeled/Boot/5a1ab073e3af6d36.jpg,boot,5
../custom_dataset/train/Labeled/Handbag/a47122a0e0c62794.jpg,handbag,2
../custom_dataset/train/Labeled/Handbag/9af72f6adb454aab.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/52c2c3e71dd84cfd.jpg,boot,5
../custom_dataset/train/Labeled/High heels/a2d4e7e494dcd513.jpg,high_heel,1
../custom_dataset/train/Labeled/High heels/5f581e2ef0434aef.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/bcca4c06791d58d0.jpg,handbag,2
../custom_dataset/train/Labeled/High heels/17347370996077ca.jpg,high_heel,1
../custom_dataset/train/Labeled/Boot/1964a5725fea489e.jpg,boot,5
../custom_dataset/train/Labeled/High heels/0953176ac357f7dd.jpg,high_heel,1
../custom_dataset/train/Labeled/Handbag/10e5f819182af78b.jpg,handbag,2
../custom_dataset/train/Labeled/Boot/49a7eb8f4571b7bb.jpg,boot,5
